Date,EBAY,YAHOO
10/20/2010,25.66,15.8
10/21/2010,27.199998,15.97
10/22/2010,28.07,16.309999
10/25/2010,27.93,16.4
10/26/2010,28.749999,16.459999
10/27/2010,29.28,16.42
10/28/2010,29.719998,16.4
10/29/2010,29.859999,16.49
11/1/2010,29.359999,16.15
11/2/2010,30.069998,16.190001
11/3/2010,30.109999,16.17
11/4/2010,30.149999,16.200001
11/5/2010,30.869999,16.27
11/8/2010,30.84,16.440001
11/9/2010,30.529998,16.969999
11/10/2010,30.929998,16.940001
11/11/2010,30.79,16.799999
11/12/2010,30.14,16.549999
11/15/2010,30.059999,16.6
11/16/2010,29.769998,16.24
11/17/2010,30.14,16.15
11/18/2010,30.569998,16.99
11/19/2010,30.299999,16.57
11/22/2010,30.64,16.559999
11/23/2010,30.18,16.190001
11/24/2010,31.209999,16.41
11/26/2010,31.149999,16.219999
11/29/2010,30.23,16.379999
11/30/2010,29.139999,15.82
12/1/2010,29.259999,16.15
12/2/2010,29.909999,16.33
12/3/2010,29.609999,16.35
12/6/2010,29.489999,16.33
12/7/2010,29.999999,16.940001
12/8/2010,30.149999,17.02
12/9/2010,30.349999,16.950001
12/10/2010,30.69,17.01
12/13/2010,30.28,16.700001
12/14/2010,30.749999,16.629999
12/15/2010,30.19,16.450001
12/16/2010,30.529998,16.51
12/17/2010,29.819998,16.379999
12/20/2010,29.58,16.280001
12/21/2010,28.649999,16.6
12/22/2010,28.57,16.629999
12/23/2010,28.32,16.719999
12/27/2010,28.309998,16.48
12/28/2010,28.349999,16.43
12/29/2010,28.359998,16.610001
12/30/2010,28.13,16.76
12/31/2010,27.829999,16.629999
1/3/2011,28.68,16.75
1/4/2011,28.47,16.59
1/5/2011,28.73,16.91
1/6/2011,28.42,17.059999
1/7/2011,27.699999,16.9
1/10/2011,28.259998,16.6
1/11/2011,28.359998,16.58
1/12/2011,28.83,16.65
1/13/2011,28.709998,16.75
1/14/2011,29.18,16.809999
1/18/2011,29.449999,16.5
1/19/2011,29.099999,16.309999
1/20/2011,30.779998,16.23
1/21/2011,30.019998,15.97
1/24/2011,30.509999,16.09
1/25/2011,30.909999,16.02
1/26/2011,31.059999,15.57
1/27/2011,30.959999,16.200001
1/28/2011,30.309999,15.83
1/31/2011,30.359999,16.120001
2/1/2011,31.64,16.379999
2/2/2011,31.879998,16.57
2/3/2011,32.05,16.690001
2/4/2011,32.209999,16.790001
2/7/2011,32.239998,16.799999
2/8/2011,32.639998,16.6
2/9/2011,31.95,16.43
2/10/2011,34.489999,16.620001
2/11/2011,34.51,16.85
2/14/2011,33.86,16.889999
2/15/2011,34.46,17.200001
2/16/2011,34.46,17.76
2/17/2011,34.689999,17.77
2/18/2011,34.529999,17.66
2/22/2011,33.649998,16.91
2/23/2011,32.85,16.58
2/24/2011,33.089998,16.370001
2/25/2011,33.629999,16.5
2/28/2011,33.51,16.4
3/1/2011,32.289998,16.1
3/2/2011,32.679999,16.629999
3/3/2011,32.929999,16.860001
3/4/2011,32.009999,17.08
3/7/2011,31.5,16.700001
3/8/2011,31.669999,16.940001
3/9/2011,31.329998,17.65
3/10/2011,31.079998,17.059999
3/11/2011,30.919999,17.42
3/14/2011,30.769998,17.309999
3/15/2011,30.44,16.33
3/16/2011,29.73,15.91
3/17/2011,29.949999,15.86
3/18/2011,30.469998,16.030001
3/21/2011,30.579998,16.290001
3/22/2011,30.219998,16.360001
3/23/2011,30.669998,16.129999
3/24/2011,31.759999,16.83
3/25/2011,31.7,16.959999
3/28/2011,30.34,16.58
3/29/2011,31.079998,16.75
3/30/2011,31.629998,16.74
3/31/2011,31.04,16.68
4/1/2011,31.359999,16.84
4/4/2011,31.39,16.870001
4/5/2011,31.84,17.110001
4/6/2011,31.85,17.049999
4/7/2011,31.529998,17
4/8/2011,31.14,16.77
4/11/2011,31.19,16.59
4/12/2011,30.699999,16.360001
4/13/2011,30.669998,16.639999
4/14/2011,30.849999,16.690001
4/15/2011,31.609999,16.620001
4/18/2011,31.149999,16.35
4/19/2011,31.149999,16.120001
4/20/2011,31.759999,16.870001
4/21/2011,31.95,16.85
4/25/2011,32.96,17.110001
4/26/2011,33.079999,17.280001
4/27/2011,34.029999,17.26
4/28/2011,33.999998,17.51
4/29/2011,34.389999,17.700001
5/2/2011,33.639998,18.139999
5/3/2011,33.539998,17.92
5/4/2011,33.01,18.200001
5/5/2011,32.679999,18.43
5/6/2011,32.719999,18.65
5/9/2011,33.119999,18.559999
5/10/2011,33.929999,18.549999
5/11/2011,33.31,17.200001
5/12/2011,33.579999,17.17
5/13/2011,33.569999,16.549999
5/16/2011,32.369999,15.81
5/17/2011,32.65,16
5/18/2011,32.879999,15.96
5/19/2011,32.9,16.35
5/20/2011,32.479998,16.299999
5/23/2011,31.629998,16.059999
5/24/2011,30.819998,16.139999
5/25/2011,30.699999,16.15
5/26/2011,30.659999,15.98
5/27/2011,30.679998,16.02
5/31/2011,31.169999,16.549999
6/1/2011,30.64,15.85
6/2/2011,31.279998,16.02
6/3/2011,30.299999,15.68
6/6/2011,29.559999,15.45
6/7/2011,29.919998,15.45
6/8/2011,30.569998,15.1
6/9/2011,30.659999,15.22
6/10/2011,29.959999,15.2
6/13/2011,29.859999,15.16
6/14/2011,29.759999,15.2
6/15/2011,28.659998,14.81
6/16/2011,28.47,14.78
6/17/2011,28.83,14.7
6/20/2011,28.82,14.99
6/21/2011,29.78,15.35
6/22/2011,29.349999,15.23
6/23/2011,29.249999,15.08
6/24/2011,28.349999,14.89
6/27/2011,28.709998,14.88
6/28/2011,28.959998,14.95
6/29/2011,30.859999,14.89
6/30/2011,32.269999,15.04
7/1/2011,32.739998,15.45
7/5/2011,32.639998,15.49
7/6/2011,32.919999,15.72
7/7/2011,33.329999,15.81
7/8/2011,33.419999,15.61
7/11/2011,32.91,15.05
7/12/2011,32.259999,14.86
7/13/2011,32.379998,14.91
7/14/2011,32.189998,14.63
7/15/2011,32.809999,14.69
7/18/2011,32.7,14.42
7/19/2011,33.76,14.59
7/20/2011,33.169999,13.48
7/21/2011,33.439998,13.59
7/22/2011,33.499998,13.98
7/25/2011,33.799998,13.69
7/26/2011,34.419999,13.94
7/27/2011,33.36,13.59
7/28/2011,33.35,13.5
7/29/2011,32.75,13.1
