movie_id,genre
20455,Science Fiction
20504,Science Fiction
20526,Science Fiction
20542,Science Fiction
20764,Science Fiction
20856,Science Fiction
21512,Science Fiction
21765,Science Fiction
22345,Science Fiction
22824,Science Fiction
22825,Science Fiction
23048,Science Fiction
23730,Science Fiction
23963,Science Fiction
24126,Science Fiction
24264,Science Fiction
24428,Science Fiction
24746,Science Fiction
25763,Science Fiction
25769,Science Fiction
26672,Science Fiction
27205,Science Fiction
27380,Science Fiction
27549,Science Fiction
28260,Science Fiction
29146,Science Fiction
29426,Science Fiction
30315,Science Fiction
30379,Science Fiction
31867,Science Fiction
31909,Science Fiction
31915,Science Fiction
32235,Science Fiction
32740,Science Fiction
33155,Science Fiction
33468,Science Fiction
34069,Science Fiction
34086,Science Fiction
34549,Science Fiction
34851,Science Fiction
35073,Science Fiction
35791,Science Fiction
36549,Science Fiction
36648,Science Fiction
36657,Science Fiction
36658,Science Fiction
36668,Science Fiction
36819,Science Fiction
37686,Science Fiction
37707,Science Fiction
38050,Science Fiction
38055,Science Fiction
38321,Science Fiction
38356,Science Fiction
38541,Science Fiction
39254,Science Fiction
39513,Science Fiction
39538,Science Fiction
40160,Science Fiction
41154,Science Fiction
42033,Science Fiction
42188,Science Fiction
42684,Science Fiction
43630,Science Fiction
43933,Science Fiction
43935,Science Fiction
44833,Science Fiction
44912,Science Fiction
44943,Science Fiction
45612,Science Fiction
45767,Science Fiction
46529,Science Fiction
46729,Science Fiction
47933,Science Fiction
49047,Science Fiction
49049,Science Fiction
49521,Science Fiction
49529,Science Fiction
49530,Science Fiction
49538,Science Fiction
50037,Science Fiction
50357,Science Fiction
50942,Science Fiction
51955,Science Fiction
52010,Science Fiction
52015,Science Fiction
53502,Science Fiction
54138,Science Fiction
55420,Science Fiction
56715,Science Fiction
57876,Science Fiction
59457,Science Fiction
59678,Science Fiction
59967,Science Fiction
61791,Science Fiction
61984,Science Fiction
62215,Science Fiction
62764,Science Fiction
68179,Science Fiction
68684,Science Fiction
68721,Science Fiction
68724,Science Fiction
68726,Science Fiction
70160,Science Fiction
70687,Science Fiction
70981,Science Fiction
71469,Science Fiction
71679,Science Fiction
72190,Science Fiction
72545,Science Fiction
72559,Science Fiction
72710,Science Fiction
75612,Science Fiction
76170,Science Fiction
76341,Science Fiction
76726,Science Fiction
76757,Science Fiction
77156,Science Fiction
79698,Science Fiction
80274,Science Fiction
81796,Science Fiction
82700,Science Fiction
83542,Science Fiction
84204,Science Fiction
84329,Science Fiction
84332,Science Fiction
86304,Science Fiction
86812,Science Fiction
87101,Science Fiction
87421,Science Fiction
88005,Science Fiction
88751,Science Fiction
91314,Science Fiction
97020,Science Fiction
97370,Science Fiction
98566,Science Fiction
98568,Science Fiction
99861,Science Fiction
100402,Science Fiction
101299,Science Fiction
102899,Science Fiction
106845,Science Fiction
107985,Science Fiction
110402,Science Fiction
110415,Science Fiction
118340,Science Fiction
119450,Science Fiction
122906,Science Fiction
125490,Science Fiction
127585,Science Fiction
131631,Science Fiction
131634,Science Fiction
134371,Science Fiction
135397,Science Fiction
137113,Science Fiction
146631,Science Fiction
152601,Science Fiction
157336,Science Fiction
157350,Science Fiction
157353,Science Fiction
158015,Science Fiction
158852,Science Fiction
166424,Science Fiction
188927,Science Fiction
190847,Science Fiction
192577,Science Fiction
198184,Science Fiction
198663,Science Fiction
199933,Science Fiction
205126,Science Fiction
206213,Science Fiction
211557,Science Fiction
218043,Science Fiction
227156,Science Fiction
227719,Science Fiction
228066,Science Fiction
228161,Science Fiction
238603,Science Fiction
238615,Science Fiction
240832,Science Fiction
242095,Science Fiction
244267,Science Fiction
245703,Science Fiction
246655,Science Fiction
257344,Science Fiction
262500,Science Fiction
262504,Science Fiction
262543,Science Fiction
264660,Science Fiction
269057,Science Fiction
270554,Science Fiction
271110,Science Fiction
286217,Science Fiction
289180,Science Fiction
290370,Science Fiction
297761,Science Fiction
299687,Science Fiction
312793,Science Fiction
315011,Science Fiction
320146,Science Fiction
326576,Science Fiction
331592,Science Fiction
333355,Science Fiction
333371,Science Fiction
335866,Science Fiction
347548,Science Fiction
360188,Science Fiction
367551,Science Fiction
371690,Science Fiction
