year,month,day,day_type
2019,8,7,Weekday
2019,8,8,Weekday
2019,8,9,Weekday
2019,8,10,Saturday
2019,8,11,Sunday/Holiday
2019,8,12,Weekday
2019,8,13,Weekday
2019,8,14,Weekday
2019,8,15,Weekday
2019,8,16,Weekday
2019,8,17,Saturday
2019,8,18,Sunday/Holiday
2019,8,19,Weekday
2019,8,20,Weekday
2019,8,21,Weekday
2019,8,22,Weekday
2019,8,23,Weekday
2019,8,24,Saturday
2019,8,25,Sunday/Holiday
2019,8,26,Weekday
2019,8,27,Weekday
2019,8,28,Weekday
2019,8,29,Weekday
2019,8,30,Weekday
2019,8,31,Saturday
2019,9,1,Sunday/Holiday
2019,9,2,Sunday/Holiday
2019,9,3,Weekday
2019,9,4,Weekday
2019,9,5,Weekday
2019,9,6,Weekday
2019,9,7,Saturday
2019,9,8,Sunday/Holiday
2019,9,9,Weekday
2019,9,10,Weekday
2019,9,11,Weekday
2019,9,12,Weekday
2019,9,13,Weekday
2019,9,14,Saturday
2019,9,15,Sunday/Holiday
2019,9,16,Weekday
2019,9,17,Weekday
2019,9,18,Weekday
2019,9,19,Weekday
2019,9,20,Weekday
2019,9,21,Saturday
2019,9,22,Sunday/Holiday
2019,9,23,Weekday
2019,9,24,Weekday
2019,9,25,Weekday
2019,9,26,Weekday
2019,9,27,Weekday
2019,9,28,Saturday
2019,9,29,Sunday/Holiday
2019,9,30,Weekday
2019,10,1,Weekday
2019,10,2,Weekday
2019,10,3,Weekday
2019,10,4,Weekday
2019,10,5,Saturday
2019,10,6,Sunday/Holiday
2019,10,7,Weekday
2019,10,8,Weekday
2019,10,9,Weekday
2019,10,10,Weekday
2019,10,11,Weekday
2019,10,12,Saturday
2019,10,13,Sunday/Holiday
2019,10,14,Weekday
2019,10,15,Weekday
2019,10,16,Weekday
2019,10,17,Weekday
2019,10,18,Weekday
2019,10,19,Saturday
2019,10,20,Sunday/Holiday
2019,10,21,Weekday
2019,10,22,Weekday
2019,10,23,Weekday
2019,10,24,Weekday
2019,10,25,Weekday
2019,10,26,Saturday
2019,10,27,Sunday/Holiday
2019,10,28,Weekday
2019,10,29,Weekday
2019,10,30,Weekday
2019,10,31,Weekday
2019,11,1,Weekday
2019,11,2,Saturday
2019,11,3,Sunday/Holiday
2019,11,4,Weekday
2019,11,5,Weekday
2019,11,6,Weekday
2019,11,7,Weekday
2019,11,8,Weekday
2019,11,9,Saturday
2019,11,10,Sunday/Holiday
2019,11,11,Weekday
2019,11,12,Weekday
2019,11,13,Weekday
2019,11,14,Weekday
2019,11,15,Weekday
2019,11,16,Saturday
2019,11,17,Sunday/Holiday
2019,11,18,Weekday
2019,11,19,Weekday
2019,11,20,Weekday
2019,11,21,Weekday
2019,11,22,Weekday
2019,11,23,Saturday
2019,11,24,Sunday/Holiday
2019,11,25,Weekday
2019,11,26,Weekday
2019,11,27,Weekday
2019,11,28,Sunday/Holiday
2019,11,29,Weekday
2019,11,30,Saturday
2019,12,1,Sunday/Holiday
2019,12,2,Weekday
2019,12,3,Weekday
2019,12,4,Weekday
2019,12,5,Weekday
2019,12,6,Weekday
2019,12,7,Saturday
2019,12,8,Sunday/Holiday
2019,12,9,Weekday
2019,12,10,Weekday
2019,12,11,Weekday
2019,12,12,Weekday
2019,12,13,Weekday
2019,12,14,Saturday
2019,12,15,Sunday/Holiday
2019,12,16,Weekday
2019,12,17,Weekday
2019,12,18,Weekday
2019,12,19,Weekday
2019,12,20,Weekday
2019,12,21,Saturday
2019,12,22,Sunday/Holiday
2019,12,23,Weekday
2019,12,24,Weekday
2019,12,25,Sunday/Holiday
2019,12,26,Weekday
2019,12,27,Weekday
2019,12,28,Saturday
2019,12,29,Sunday/Holiday
2019,12,30,Weekday
2019,12,31,Weekday
